,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,"Ready for AUTUMN ! 🧺가을맞이 취향저격 6가지 코디룩북 (ft.시티브리즈) 가을 패션하울 。☆뷔스티에, 가디건, 니트, 자켓, 원피스(이벤트)ㅣbird정은",https://www.youtube.com/watch?v=JKOVMAUOiMA,5684,2023-09-15,0:14:12,
1,"7-8월 나의 페이보릿 ! 🥽🩱🩵드디어 배송 온 나의 레인부츠.. ♡ 인생 그립톡, 볼캡러버, 반팔티ㅣfashion haulㅣ패션하울ㅣbird정은",https://www.youtube.com/watch?v=7b6AHuj5odc,8839,2023-08-05,0:12:06,
2,(SUMMER LOOKBOOK) 돌려입기 좋은 여름 룩북 🍉🍹🏝️주구장창 입게 될 나의 핫썸머 아이템 .. ♡ ㅣ쇼핑몰+브랜드ㅣ여름패션하울ㅣbird정은,https://www.youtube.com/watch?v=UuYfKkFVfMs,14881,2023-07-10,0:03:16,
3,"BAG haul👝디자이너브랜드, 가방별 코디룩북 (나만 알고싶은) 퀄리티,가성비 좋은 가방추천..🖤미닛뮤트,스퀘어라인,오소이,URBANIC30,렉토,시눈ㅣbird정은",https://www.youtube.com/watch?v=I1XRhv2VLYc,7053,2023-05-31,0:10:31,
4,"여름 코디 모음.zip 🌞🔭 패션하울 • 여름 스타일링ㅣ최애코디ㅣ직장인코디,꾸안꾸룩,데일리룩ㅣ할인쿠폰🩵ㅣbird정은",https://www.youtube.com/watch?v=0_YMK5BVrEs,4849,2023-05-29,0:11:53,
5,"바지없이 못사는 사람의 ‘Must have’PANTS 👖🩵 바지하울 청바지 모음.zip 슬림핏,일자핏,와이드핏ㅣ인생바지, 데님추천ㅣbird정은",https://www.youtube.com/watch?v=c89t_69dG1o,6549,2023-05-28,0:11:55,
6,"필수템 패션하울🌞꾸안꾸 데일리룩,하객룩,오피스룩ㅣ직장인 코디ㅣ트위드 셋업,자켓코디,반바지추천,와이드팬츠,필수 이너 추천 (OCO) ㅣbird정은",https://www.youtube.com/watch?v=xKfnsAlhiwc,5235,2023-04-30,0:08:49,
7,"(쇼핑몰+브랜드) 봄 패션하울 2탄 🥭퀄리티 좋은 애정템만 모아! 트위드 자켓,티셔츠 추천! 데님 셔츠,인생바지,스니커즈,미니백ㅣfashion haul 🧆ㅣbird정은",https://www.youtube.com/watch?v=CJXiyV0kgVc,10847,2023-04-08,0:09:04,
8,"(쇼핑몰 위주) 봄 패션하울 1탄🌼 봄을 위한 14가지 찐템 • dailylook 최애 블라우스, 이너 추천,가디건, 맨투맨, 바시티자켓, 데님추천 인생바지ㅣbird정은",https://www.youtube.com/watch?v=UG7RYi2mbOY,18997,2023-03-28,0:14:34,
9,"이른 봄 패션하울 ! 🎐🧺 데일리 니트 코디ㅣ개강룩 & 출근룩ㅣ에잇세컨즈 추천템ㅣ로퍼, 운동화 추천ㅣ아모멘토,낫띵리튼,구호플러스,디애퍼처ㅣbird정은",https://www.youtube.com/watch?v=GZogeU_10PU,10263,2023-02-14,0:13:57,
10,"12-1월 페이보릿..♡ 위시리스트와 생일선물 그사이ㅣ고체향수 추천ㅣ어썸니즈 모자ㅣ탬버린즈 바디워시,캔들ㅣ글로니ㅣ미닛뮤트 가방ㅣ토프 진주목걸이ㅣ교복템 조거팬츠ㅣbird정은",https://www.youtube.com/watch?v=wNg8ZsN7bqI,6566,2023-01-15,0:13:41,
11,"겨울 패션하울. 📦 겨울이 싫지만 주구장창 입어질 나의 겨울옷 한가득 fashion haul ! 패딩,무스탕,니트,교복바지..♡ 데일리백〰️디자이너브랜드 쇼핑몰ㅣbird정은",https://www.youtube.com/watch?v=U6sTtCUwiXE,8077,2022-12-13,0:16:01,
12,"☃️ 겨울 대비 필수템 ❄️ items for WINTER • 뷰티&패션ㅣ코트,가방,시계,악세,립밤,보습템 추천!ㅣ오소이,넘버즈인,플루브아,호와스,르니니,미니바세린ㅣbird정은",https://www.youtube.com/watch?v=jo4pJlXqY1c,5117,2022-11-29,0:09:33,
13,"겨울옷 뭐살까? wishlist👩🏻‍💻 요즘 빠진 브랜드&쇼핑몰 추천• 갖고시픈거 .. ! 아우터 맛집, 가방, 모자, 악세, 무스탕ㅣ블랙프라이데이쇼핑 준비 🦭ㅣbird정은",https://www.youtube.com/watch?v=mU_AUxeHW0w,4179,2022-11-27,0:21:16,
14,트위드자켓 러버들은 꼭 봐야하는 영상 .. 🏛️🖤 하객룩 추천ㅣ트위드맛집ㅣ출근룩ㅣ퀄리티 좋은 자켓추천ㅣ데일리룩ㅣ코디 룩북ㅣ신시얼리준ㅣbird정은,https://www.youtube.com/watch?v=jiY2LHGgGRI,19441,2022-11-18,0:10:51,
15,"•페이보릿• 🧦🧣🧤큣티하고 포근한 item 한가득 ➿ 가을 겨울 필수템 추천 하울! ㅣACC,가방,장갑,플리스,양말,잠옷,사쉐ㅣ패션하울ㅣbird정은",https://www.youtube.com/watch?v=aZkey2alcLQ,6703,2022-11-11,0:14:39,
16,"예쁘고 착화감 좋은! 6가지 신발하울 👢(메리제인,롱부츠,앵클부츠) 직장인부터 대학생까지〰️가을, 겨울 신발추천 🤎LOOKBOOKㅣbird정은",https://www.youtube.com/watch?v=pMbvuJECd44,6428,2022-11-04,0:07:48,
17,"가을 패션하울 2탄 ! 🧸🛌🤎취향 가득 담은 20가지 애정템 구경오쎄요〰️자켓,니트,셔츠,패딩,가디건까지 필수템 가-득ㅣ브랜드 쇼핑몰 골고루! ㅣbird정은",https://www.youtube.com/watch?v=7P1_A9jRXhE,8227,2022-10-24,0:21:50,
18,"퀄리티 좋은 가을,겨울 아우터 추천 !🌛..。 🔭 OUTER HAUL〰️자켓 한가득ㅣ 나의 첫 쿠팡 로켓배송..🚀 자켓 패션하울ㅣbird정은",https://www.youtube.com/watch?v=s-7aCu3agpM,8344,2022-10-15,0:08:33,
19,"나만 알고 싶은 핏 예-쁜 PANTS 몽땅👖매일 입어질 바지들.. 바지맛집 추천까지〰️ㅣ데님,슬렉스,화이트팬츠,코듀로이팬츠ㅣ바지하울,청바지추천ㅣ브랜드+쇼핑몰ㅣbird정은",https://www.youtube.com/watch?v=H01LQRyu4d4,23069,2022-10-03,0:15:30,
20,"나의 출근룩을 책임질 9가지 데일리 아이템 🛋️ 'DAILY OUTFIT IDEAS ' (Ayra) 〰️자켓,핸드메이드 코트,셔츠,스커트,슬렉스ㅣbird정은",https://www.youtube.com/watch?v=M4O7OBi4LLQ,3206,2022-09-30,0:10:01,
21,"🌈색감이 다한 8 OUTFIT IDEAS 꾸안꾸 데일리룩 개강룩 • 22FW LOOKBOOK 니트,맨투맨,가디건(AMES) *구독자 이벤트* 마감ㅣbird정은",https://www.youtube.com/watch?v=F9JE2H-176k,6686,2022-09-19,0:11:07,
22,"본격 가을준비 ! 🍂🦫 가을을 위해 구매한 15가지 ITEMSㅣ가디건,니트,맨투맨,데님,셔츠ㅣ쇼핑몰 브랜드 자라ㅣ가을 패션하울ㅣbird정은",https://www.youtube.com/watch?v=ohwluR574Qg,10164,2022-09-18,0:16:16,
23,"22Autumn lookbook 🏛 자켓부터 니트, 가디건, 맨투맨, etc 가을 필수템ㅣ가을옷 코디ㅣ스텀피니(이벤트마감)ㅣbird정은",https://www.youtube.com/watch?v=rBEG6LcpDaM,7676,2022-09-14,0:15:36,
24,"가을맞이 위시리스트 공개 🛒🎧〰️MY WISHLIST ! 렉토ㅣ오소이ㅣ딥디크ㅣ미닛뮤트ㅣ드파운드ㅣ쇼핑몰추천ㅣ가방, 향수 추천,부츠, 파자마, lamp, 가을바지 추천ㅣbird정은",https://www.youtube.com/watch?v=Ivl1Xb7j5uw,7824,2022-09-08,0:22:09,
25,"쇼핑몰,브랜드 골고루 haul ! 💗 아끼는 옷 공개 • 여름패션하울 • 쪼리 운동화 신발 추천ㅣ아디다스ㅣ유즈, 얼바닉30ㅣBird정은",https://www.youtube.com/watch?v=qj-ZKLJLDpQ,20021,2022-08-01,0:18:40,
26,🍡알록달록 여름맞이 16가지 가방소개•MY BAG COLLECTION ! 요즘 핫한 가방부터 데일리백까지! 디자이너브랜드ㅣbird정은,https://www.youtube.com/watch?v=hHYUrzLPI-A,10300,2022-06-30,0:17:41,
27,"🏄🏿‍♀️COOL한 여름 패션하울! 추천 비추천 (?)자라신상🫶🏻여름바지 추천!ㅣ더바넷,Zara,시눈,호와스ㅣ브랜드+쇼핑몰ㅣbird정은",https://www.youtube.com/watch?v=CqQmNl0V8Z0,11517,2022-06-22,0:16:40,
28,무채색 가득담은 여름 룩북 🎱 데일리룩 자켓코디ㅣ원피스맛집ㅣ가디건ㅣmongdol ㅣbird정은,https://www.youtube.com/watch?v=vkR-kf_1lio,6722,2022-06-01,0:08:34,
29,8 summer outfits 🍒취향 가득 담은 여름 룩북 lookbook (구독자 이벤트+최대15%할인코드) 반원아틀리에ㅣbird정은,https://www.youtube.com/watch?v=v8yOt-vQ2Wg,6154,2022-05-31,0:10:10,
