,youtube_id,comment,like_num,comment_date
0,lamuqemagicup,나는 베이킹 소다에 5분 이상 담궈놨던 걸루 부타캥! ㅋㅋㅋㅋㅋ(썬글+헤어 조합 굳),8.0,5개월 전
1,hyegguy,왜 영언데 우리 모두 알아 들을 수 있는 건가요 씬님ㅋㅋㅋㅋㅋ,73.0,5개월 전
2,userhx3ec8nn8o,요즘 영상들에는 언니가 좋아하는 주변인들과의 일상들이 많이담겨 너무 좋아요,7.0,5개월 전
3,dressystyle68,씬님 영상은 언제봐도 너무 재미 있어요~ 타고난 예능인~ always  love you ,2.0,5개월 전
4,userdk5ld4ue5t,ㅇ ㅏㅋㅌㅋㅋㅋ 언니 이런 영상처럼 영어로만 말하눈 영상 시리즈 만드시면 좋을 것 같아요!! 냅다 썬글라스 끼구 영어로 말해서 재미있었어요!!ㅋㅌㅌㅋㅋㅋㅋ,5.0,5개월 전
5,userfk1hw2fh6w,진짜 하나도 빼놓지않고 다보는 유일 유튜버 뭐든 올려만줘요 언니,2.0,5개월 전
6,cbcw1384,이렇게 all 영어로 말하면서 영상찍는거 왕좋아요!!,6.0,5개월 전
7,RaineX6,Your English is very good Ssin nim! :) the dish looks great!,1.0,5개월 전
8,userdx7ud6qh5i,아놔 진짜ㅋㅋㅋㅋㅋㅋㅋ 오랜만에 재밌는 씬님다운 영상이었어요!! 내가 볼것만 써놔야지♡ 1:51 2:32 3:43 6:12 10:10,1.0,5개월 전(수정됨)
9,Jacklynofalltrades,Very nice. My grandma loved kumquats. You gave me a very nice memory of my grandma. The kumquats look like lovely mini oranges but they are bitter AF.,2.0,5개월 전
10,rlatlwlsl,ㅋㅋㅋㅋㅋㅋㅋ아 너무 웃겨ㅋㅋㅋㅋㅋ 낑깡은 일본식 표기라고 들었던 것 같아요! 아니 근데 박PD님...? 피디님이신가요 너무 반갑다,2.0,5개월 전
11,mihyesson9367,싱크대에서 미쳤어요ㅋㅋ아 빵터졌어요 진짜,1.0,5개월 전
12,shione,뭔데 이태민이 하는 영어 고급 버전인 것 같짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ분명 영어 1도 모르는데 다 알아듣겠엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미춰버렼ㅋㅋㅋㅋㅋㅋㅋㅋ마이더스의 손 이태민에 익숙한 들리는 영어 이태민에 하아...내일 우리 태민이 제대한다고 이렇게 환영해 주시다뇻?! 감사함돠 실상 씬님은 큰 의미 없이 촬영을 하셨고 우연의 일치로 오늘 올리신 건데 너무 이태민이 생각나는데요?!이번 영상은 이태민만 남은 기분이 드는 건 기분탓일거에요 암튼간에 만드시느라 수고하셨어욬ㅋㅋㅋㅋㅋㅋ,16.0,5개월 전
13,Dbbbtn4hg,"언니 이번 영상도 잘 봤어요 !!!
정말 오래된 구독자로서 한 가지 아쉬운건 예전에 비해 저조한 조회수인 것 같아요 ... 뭔가 채널의 변화가 있어야 할 것 같아요",0.0,5개월 전
